Drug ID,Disease ID,P,P-P,P-P-P,P-GO-P,P-GO-GO-P,P-GO-P-P,P-P-GO-P,P-GO-GO-GO-P,P-GO-P-GO-P,P-P-GO-GO-P,P-P-P-GO-P,P-GO-GO-GO-GO-P,P-GO-GO-P-GO-P,P-GO-P-GO-GO-P,P-P-GO-P-GO-P,P-GO-GO-GO-GO-GO-P,P-GO-GO-GO-P-GO-P,P_Ratio,P-P_Ratio,P-P-P_Ratio,P-GO-P_Ratio,P-GO-GO-P_Ratio,P-GO-P-P_Ratio,P-P-GO-P_Ratio,P-GO-GO-GO-P_Ratio,P-GO-P-GO-P_Ratio,P-P-GO-GO-P_Ratio,P-P-P-GO-P_Ratio,P-GO-GO-GO-GO-P_Ratio,P-GO-GO-P-GO-P_Ratio,P-GO-P-GO-GO-P_Ratio,P-P-GO-P-GO-P_Ratio,P-GO-GO-GO-GO-GO-P_Ratio,P-GO-GO-GO-P-GO-P_Ratio
U642,C0020429,5,1,0,44,6,0,2,2,5,0,0,0,0,0,0,0,0,0.08,0.02,0,0.68,0.09,0,0.03,0.03,0.08,0,0,0,0,0,0,0,0
U861,C0011991,4,2,0,42,15,0,5,4,5,0,0,0,0,0,0,0,0,0.05,0.03,0,0.55,0.19,0,0.06,0.05,0.06,0,0,0,0,0,0,0,0
U172,C0033774,0,1,0,12,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.63,0.26,0,0.05,0,0,0,0,0,0,0,0,0,0
U627,C0000737,4,17,0,162,7,0,23,12,22,0,0,1,2,1,0,0,0,0.02,0.07,0,0.65,0.03,0,0.09,0.05,0.09,0,0,0.0,0.01,0.0,0,0,0
U37,C0010200,2,15,0,143,28,0,33,17,44,0,1,3,4,3,0,0,0,0.01,0.05,0,0.49,0.1,0,0.11,0.06,0.15,0,0.0,0.01,0.01,0.01,0,0,0
U504,C0010200,1,1,0,12,3,0,2,1,4,0,0,0,0,0,0,0,0,0.04,0.04,0,0.5,0.12,0,0.08,0.04,0.17,0,0,0,0,0,0,0,0
U195,C0000737,0,4,0,28,6,0,7,2,5,0,1,1,0,0,0,0,0,0,0.07,0,0.52,0.11,0,0.13,0.04,0.09,0,0.02,0.02,0,0,0,0,0
U789,C0010200,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0
U496,C0036572,23,13,0,199,11,0,6,1,0,0,0,0,0,0,0,0,0,0.09,0.05,0,0.79,0.04,0,0.02,0.0,0,0,0,0,0,0,0,0,0
U325,C0030193,14,35,0,266,43,0,26,7,18,0,0,1,2,1,0,0,0,0.03,0.08,0,0.64,0.1,0,0.06,0.02,0.04,0,0,0.0,0.0,0.0,0,0,0
