node_1,node_2_name
DB00114,ALAS2
DB00114,GPT2
DB00114,MOCOS
DB00114,SDSL
DB00114,SRR
DB00114,SEPSECS
DB00114,SPTLC3
DB00115,MTR
DB00115,MMUT
DB00115,MTRR
DB00115,MMAA
DB00115,MMACHC
DB00115,MTHFR
DB00118,COMT
DB00118,CMTR1
DB00118,AS3MT
DB00118,GNMT
DB00118,AMD1
DB00118,MAT2A
DB00118,LOC102724560
DB00118,MAT1A
DB00119,CA4
DB00119,ABAT
DB00119,SLC16A3
DB00119,SLC16A2
DB00119,AGXT2
DB00119,SLC16A5
DB00119,PKLR
DB00119,SLC16A6
DB00119,SLC16A7
DB00119,PDHB
DB00119,PKM
DB00119,SLC16A4
DB00119,SLC16A8
DB00119,SLC16A1
DB00119,PC
DB00120,TH
DB00120,TAT
DB00120,SLC7A8
DB00120,FARSA
DB00120,PAH
DB00120,FARS2
DB00120,FARSB
DB00121,PCCB
DB00121,HLCS
DB00121,MCCC2
DB00121,ACACB
DB00121,MCCC1
DB00121,PC
DB00121,PCCA
DB00121,ACACA
DB00122,CHRNA2
DB00122,CHRNA7
DB00122,PCYT1B
DB00122,ACHE
DB00122,PCYT1A
DB00122,PLD2
DB00122,BCHE
DB00122,PLD1
DB00122,PHOSPHO1
DB00123,SLC7A1
DB00123,SLC7A4
DB00123,SLC7A3
DB00123,SLC7A2
DB00123,KARS1
DB00126,SLC23A2
DB00126,SLC23A1
DB00126,PLOD2
DB00126,PHYH
DB00126,PLOD3
DB00126,BBOX1
DB00126,DBH
DB00126,PAM
DB00126,P3H1
DB00126,P3H2
DB00126,P3H3
DB00126,P4HA1
DB00126,OGFOD1
DB00126,OGFOD2
DB00126,ALKBH2
DB00126,ALKBH3
DB00126,KDM5D
DB00126,PLOD1
DB00126,TMLHE
DB00126,P4HTM
DB00126,EGLN1
DB00126,EGLN2
DB00126,EGLN3
DB00128,GRIN2A
DB00128,GRIN2B
DB00128,GRIN1
DB00128,ADSS1
DB00128,ADSS2
DB00128,SLC25A13
DB00128,GOT1
DB00128,ASPA
DB00128,ASNS
DB00128,ASS1
DB00128,ACY1
DB00128,GOT2
DB00128,DARS1
DB00128,SLC25A12
DB00128,ASPH
DB00128,PAICS
DB00128,SLC1A1
DB00128,DARS2
DB00128,ASRGL1
DB00128,RNASE1
DB00128,LYZ
DB00129,OAT
DB00129,OTC
DB00129,ARG1
DB00129,OAZ1
DB00129,SLC7A1
DB00129,SLC7A2
DB00129,SLC25A2
DB00129,ARG2
DB00129,SLC25A15
