Drug,gene_num_total,gene_num_in_graph
DB01176,2,2
DB01177,2,2
DB01179,4,4
DB01181,1,1
DB01182,4,4
DB01183,7,7
DB01184,2,2
DB01185,4,4
DB01186,17,17
DB01188,1,1
DB01191,2,2
DB01192,2,2
DB01193,2,2
DB01194,5,5
DB01195,4,4
DB01196,4,4
DB01197,5,5
DB01198,5,5
DB01199,4,4
DB01200,18,18
DB01202,3,3
DB01203,2,2
DB01204,2,2
DB01206,1,1
DB01208,1,1
DB01209,2,2
DB01210,2,2
DB01211,3,3
DB01212,4,4
DB01214,2,2
DB01215,17,17
DB01216,4,4
DB01217,1,1
DB01219,1,1
DB01220,1,1
DB01222,2,2
DB01223,4,4
DB01224,26,26
DB01225,3,3
DB01228,1,1
DB01229,3,3
DB01231,4,4
DB01233,4,4
DB01234,5,5
DB01235,5,5
DB01237,1,1
DB01238,44,44
DB01239,25,25
DB01240,3,3
DB01241,6,6
DB01242,6,6
DB01243,1,1
DB01244,10,10
DB01246,1,1
DB01247,2,2
DB01248,3,3
DB01250,4,4
DB01251,3,3
DB01253,2,2
DB01254,23,23
DB01255,1,1
DB01257,1,1
DB01260,4,4
DB01261,1,1
DB01262,14,14
DB01267,15,15
DB01268,9,9
DB01270,1,1
DB01271,1,1
DB01274,1,1
DB01275,3,3
DB01276,1,1
DB01277,4,4
DB01278,5,5
DB01280,4,4
DB01281,3,3
DB01282,1,1
DB01283,2,2
DB01284,1,1
DB01285,2,2
DB01288,3,3
DB01291,2,2
DB01296,3,3
DB01297,1,1
DB01303,5,5
DB01306,2,2
DB01307,2,2
DB01309,2,2
DB01320,1,1
DB01324,1,1
DB01325,5,5
DB01327,3,3
DB01340,1,1
DB01348,1,1
DB01351,10,10
DB01353,10,10
DB01357,1,1
DB01359,4,4
DB01364,5,5
DB01365,10,10
DB01366,1,1
DB01367,2,2
DB01378,1,1
DB01380,5,5
DB01382,3,3
DB01392,18,18
DB01393,7,7
DB01394,1,1
DB01395,4,4
DB01396,6,6
DB01399,2,2
DB01400,1,1
DB01401,2,2
DB01403,19,19
DB01406,5,5
DB01407,5,5
DB01409,5,5
DB01410,2,2
DB01418,1,1
DB01420,1,1
DB01426,1,1
DB01427,7,7
DB01430,1,1
DB01435,2,2
DB01436,3,3
DB01437,17,17
DB01438,1,1
DB01440,3,3
DB01452,4,4
DB01558,16,16
DB01576,10,10
DB01577,13,13
DB01579,3,3
DB01580,3,3
DB01586,4,4
DB01588,17,17
DB01589,17,17
DB01590,1,1
DB01591,5,5
DB01592,13,13
DB01593,119,119
DB01595,17,17
DB01597,1,1
DB01599,2,2
DB01600,2,2
DB01611,3,3
DB01616,1,1
DB01618,4,4
DB01619,1,1
DB01620,3,3
DB01621,4,4
DB01623,3,3
DB01624,7,7
DB01625,2,2
DB01626,2,2
DB01628,1,1
DB01656,4,4
DB01698,2,2
DB01708,31,31
DB01744,4,4
DB01956,22,22
DB02300,1,1
DB02530,12,12
DB02546,11,11
DB02638,3,3
DB02659,21,21
DB02701,4,4
DB02772,5,5
DB02925,1,1
DB03017,12,12
DB03085,1,1
DB03128,5,5
DB03255,7,7
DB03619,16,16
DB03754,2,2
DB03793,3,3
DB03904,3,3
DB04115,2,2
DB04272,16,16
DB04465,4,4
DB04575,1,1
DB04743,4,4
DB04837,1,1
DB04838,2,2
DB04840,1,1
DB04841,6,6
DB04842,3,3
DB04843,3,3
DB04844,2,2
DB04845,1,1
DB04846,6,6
DB04854,1,1
DB04855,28,28
DB04861,3,3
DB04865,1,1
DB04868,2,2
DB04871,1,1
DB04876,1,1
DB04880,1,1
DB04890,1,1
DB04895,1,1
DB04896,9,9
DB04898,1,1
DB04899,3,3
DB04920,4,4
DB04931,2,2
DB04932,3,3
DB04938,1,1
DB04941,2,2
DB04946,17,17
DB04951,1,1
DB04953,4,4
DB05015,11,11
DB05016,1,1
DB05039,1,1
DB05099,1,1
DB05239,1,1
DB05246,1,1
DB05260,3,3
DB05271,7,7
DB05294,6,6
DB05311,1,1
DB05332,1,1
DB05351,3,3
DB05389,2,2
DB05521,2,2
DB05541,15,15
DB05578,1,1
DB05630,1,1
DB05676,2,2
DB05679,2,2
DB05777,2,2
DB05812,1,1
DB05829,2,2
DB05990,1,1
DB06016,8,8
DB06144,8,8
DB06148,23,23
DB06151,10,10
DB06152,2,2
DB06153,15,15
DB06155,2,2
DB06168,1,1
DB06176,12,12
DB06193,2,2
DB06196,2,2
DB06201,2,2
DB06202,3,3
DB06203,1,1
DB06204,5,5
DB06209,1,1
DB06210,1,1
DB06212,2,2
DB06213,1,1
DB06216,20,20
DB06217,4,4
DB06218,5,5
DB06219,1,1
DB06228,1,1
DB06230,3,3
DB06237,1,1
DB06243,1,1
DB06262,10,10
DB06267,1,1
DB06268,2,2
DB06271,2,2
DB06273,1,1
DB06282,1,1
DB06285,2,2
DB06287,1,1
DB06288,7,7
DB06292,1,1
DB06317,1,1
DB06335,1,1
DB06372,3,3
DB06401,2,2
DB06403,2,2
DB06410,1,1
DB06412,2,2
DB06413,2,2
DB06439,6,6
DB06441,1,1
DB06480,1,1
DB06589,10,10
DB06594,3,3
DB06603,11,11
DB06605,1,1
DB06616,11,11
DB06626,4,4
DB06637,16,16
DB06643,1,1
DB06650,1,1
DB06654,1,1
DB06655,1,1
DB06663,4,4
DB06674,1,1
DB06684,2,2
DB06688,1,1
DB06689,1,1
DB06691,1,1
DB06692,4,4
DB06694,6,6
DB06695,1,1
DB06697,1,1
DB06699,1,1
DB06700,3,3
DB06701,3,3
DB06702,5,5
DB06706,2,2
DB06707,6,6
DB06709,5,5
DB06710,2,2
DB06711,3,3
DB06713,3,3
DB06714,3,3
DB06716,2,2
DB06717,1,1
DB06718,1,1
DB06719,2,2
DB06720,1,0
DB06725,2,2
DB06736,2,2
DB06754,1,1
DB06756,1,1
DB06764,6,6
DB06766,1,1
DB06774,2,2
DB06775,1,1
DB06777,4,4
DB06782,1,1
DB06785,1,1
DB06786,4,4
DB06788,1,1
DB06791,2,2
DB06800,3,3
DB06809,1,1
DB06813,4,4
DB06819,12,12
DB06824,1,1
DB06825,1,1
DB08604,5,5
DB08799,1,1
DB08801,2,2
